Name;Position;Age;ca;pa;Nationality;Club;Corners;Crossing;Dribbling;Finishing;First Touch;Free Kick Taking;Heading;Long Shots;Long Throws;Marking;Passing;Penalty Taking;Tackling;Technique;Aggressiion;Anticipation;Bravery;Composure;Concentration;Vision;Decision;Determination;Flair;Leadership;Off The Ball;Position;Teamwork;Work Rate;Acceleration;Agility;Balance;Jumping Reach;Natural Fitness;Pace;Stamina;Strength;Stability;Foul;Contest performance;Injury;diversity;Aerial Reach;Command Of Area;Communication;Eccentricity;Handling;Kicking;One On Ones;Reflexes;Rushing Out;Punching;Throwing;Adaptation;Ambition;Argue;Loyal;Resistant to stress;Professional;Sportsmanship;Emotional control;GK;DL;DC;DR;WBL;WBR;DM;ML;MC;MR;AML;AMC;AMR;ST;Height;Weight;Left Foot;Right Foot;Values;Current reputation;Domestic reputation;World reputation;Race;RCA;Colour of skin;Date of birth;Number of national team appearances;Goals scored for the national team;Salary;Rental club;UID
Ludovic Ajorque;S;28;135;136;France,RÇunion;RC Strasbourg Alsace;4;10;12;16;13;7;17;12;4;4;12;15;2;13;13;14;15;13;15;11;13;15;13;12;12;7;15;16;12;12;16;17;15;12;14;16;13;8;12;7;10;2;4;1;2;4;3;1;1;3;3;3;18;14;7;13;10;12;10;10;1;1;1;1;1;1;1;1;1;1;1;1;1;20;197;82;20;7;7963831;6750;6750;4015;Mixed_Race;134;8;25/02/1994;0;0;22559;;85103818
Franco Cervi;M/AM L;28;135;143;Argentina,Italy;Vigo;12;10;13;11;12;12;4;13;8;11;13;12;13;13;16;14;14;10;14;13;11;18;13;9;15;13;14;18;15;15;16;7;17;15;15;8;12;14;10;11;12;3;1;3;3;1;3;3;2;2;3;3;7;13;6;14;12;14;7;11;1;10;1;1;14;1;1;19;1;1;20;14;10;1;167;60;20;7;5698861;6498;5907;5091;Mediterranean_Hispanic;135;6;26/05/1994;4;1;47944;;14078688
R£ben Vezo;D C;28;135;140;Portugal,Cape Verde Islands;Levante;6;8;10;6;12;7;14;7;12;13;12;10;15;12;12;14;13;13;11;11;12;13;6;12;10;14;12;15;14;14;12;14;12;14;14;13;13;8;12;8;12;1;1;1;3;1;3;3;3;2;3;3;11;12;5;14;13;16;13;14;1;7;20;14;1;1;10;1;1;1;1;1;1;1;182;80;10;20;8752856;6734;6384;5884;Mediterranean_Hispanic;134;12;25/04/1994;0;0;17903;;55067158
Leonardo Sigali;D C;35;135;144;Argentina;Racing Club de Avellaneda;4;8;12;10;13;6;16;4;8;16;12;8;15;12;17;14;15;11;12;12;10;15;10;17;9;14;15;15;13;14;14;12;14;13;15;14;14;8;14;7;14;1;3;3;3;3;3;1;1;2;1;1;3;12;8;14;14;16;15;12;1;1;20;14;1;1;1;1;1;1;1;1;1;1;181;75;8;20;142883;6658;6658;4509;Mediterranean_Hispanic;136;6;29/05/1987;0;0;29136;;964666
David Luiz;D C;35;135;157;Brazil,Portugal;FLA;6;9;13;11;13;13;15;12;13;14;15;13;15;13;17;15;16;11;9;15;10;16;14;14;12;13;14;15;12;12;12;15;14;12;13;14;8;13;13;10;13;4;4;4;1;2;3;3;1;2;2;1;15;20;10;15;12;14;11;10;1;10;20;10;1;1;15;1;1;1;1;1;1;1;189;86;13;20;508987;6711;6912;6187;Northern_European;138;1;22/04/1987;57;3;44728;;2114068
Musa Barrow;AM/S LC;23;135;150;The Gambia;Bologna FC 1909;12;13;14;13;14;12;12;14;4;4;13;12;5;14;12;12;10;12;10;11;11;10;16;8;12;4;12;10;15;15;13;10;13;16;13;11;11;10;10;5;13;3;4;2;1;2;1;1;2;2;3;2;14;10;8;12;11;16;12;11;1;1;1;1;1;1;1;1;1;1;20;15;10;19;184;76;10;20;11446401;6750;6850;5500;African_Caribbean;131;18;14/11/1998;27;4;28461;;43372270
Thiago Almada;AM RLC;21;135;-85;Argentina,Italy;Atlanta United FC;13;12;14;12;15;13;4;15;4;7;15;16;7;16;13;13;9;14;12;15;15;14;16;6;14;8;14;12;14;15;14;5;14;12;13;7;13;5;13;5;14;1;2;3;1;4;1;1;1;4;2;1;13;15;10;13;14;12;14;7;1;1;1;1;1;1;1;10;14;10;18;20;16;12;171;64;8;20;18919812;6989;6752;5063;Mediterranean_Hispanic;133;9;26/04/2001;1;0;45216;;14172522
Ben Brereton D°az;AM/S RL;23;135;145;Chile,England;Blackburn Rovers;5;9;14;14;12;11;12;12;3;5;11;13;4;13;10;12;12;13;11;10;11;13;10;7;12;5;15;15;15;12;12;13;15;15;14;15;12;3;11;3;12;1;3;2;2;3;2;1;2;1;2;3;13;15;1;14;14;16;6;15;1;1;1;1;1;1;1;1;1;1;20;12;15;20;186;80;14;20;15614983;6744;6744;5994;Northern_European;129;4;18/04/1999;15;4;8699;;29159400
Joe Rodon;D C;24;135;144;Wales;Tottenham Hotspur;4;7;9;5;11;3;14;4;10;13;11;5;14;12;13;14;16;12;12;10;13;15;9;13;9;13;14;14;13;13;11;16;12;14;13;15;14;6;12;14;5;2;3;1;1;2;1;2;3;1;3;3;8;15;8;10;8;14;11;10;1;1;20;5;1;1;1;1;1;1;1;1;1;1;193;76;13;20;11563463;6750;7250;5400;Northern_European;135;1;22/10/1997;28;0;27838;Stade Rennais FC;28100477
Matheus Pereira;M/AM RLC;26;135;148;Brazil,Portugal;Al-Hilal Saudi Football Club;14;15;16;13;15;13;6;15;7;6;14;11;6;16;9;10;9;13;8;14;12;8;17;6;14;6;10;8;15;16;12;7;14;14;12;7;13;15;13;4;11;2;2;1;3;1;1;2;2;1;4;1;7;16;16;10;13;7;5;8;1;1;1;1;1;1;1;17;1;18;17;19;20;11;175;69;20;9;347975206;6750;5695;5745;Mixed_Race;130;12;05/05/1996;0;0;123760;;55070289
Ante Budimir;S;31;135;142;Croatia;AtlÇtico Pamplona;6;8;10;15;11;4;17;10;3;7;12;16;12;12;13;16;14;14;13;10;13;16;13;5;16;12;14;14;11;11;15;16;15;12;14;18;14;8;12;7;8;2;3;2;1;3;3;1;1;3;4;2;11;13;7;8;10;13;12;12;1;1;1;1;1;1;1;1;1;1;7;1;7;20;190;75;20;8;347975206;6600;6700;4500;Northern_European;134;3;22/07/1991;14;1;11901;;24003746
Fernando Muslera;GK;36;135;160;Uruguay,Italy,Argentina;Galatasaray A.?.;4;2;9;2;11;9;8;1;1;3;11;7;2;10;10;15;13;12;10;10;11;17;8;16;7;17;13;12;11;15;12;15;16;10;11;12;12;2;12;6;12;12;10;14;7;16;11;15;15;14;4;14;15;13;4;18;18;18;15;18;20;1;1;1;1;1;1;1;1;1;1;1;1;1;190;84;8;20;347975206;7050;7545;5555;Northern_European;134;3;16/06/1986;133;0;80126;;78001113
Joe Willock;M C;22;135;155;England,Montserrat;Newcastle United;7;11;14;13;14;10;7;11;4;7;14;9;10;14;10;12;12;14;12;13;13;13;15;4;14;9;14;14;17;17;12;8;13;14;14;12;13;6;13;8;14;3;2;4;2;3;3;3;3;2;1;2;17;16;8;12;13;13;13;14;1;1;1;1;1;1;12;12;20;12;13;12;13;1;179;71;10;20;49505273;6750;6750;5500;African_Caribbean;133;15;20/08/1999;0;0;92793;;28106684
Lucas Leiva;DM;35;135;155;Brazil,Italy;GRE;13;7;10;10;15;3;13;10;4;15;15;11;17;13;15;18;18;15;14;12;13;19;11;14;13;15;16;16;9;9;14;10;17;9;10;12;14;11;15;10;12;3;2;1;1;2;3;1;1;1;4;2;19;17;6;19;17;20;13;16;1;1;11;1;1;1;20;1;14;1;1;10;1;1;179;73;11;20;861432;6900;6900;6250;Mediterranean_Hispanic;134;3;09/01/1987;22;0;22277;;8833577
Thilo Kehrer;D RC;25;135;146;Germany,Burundi;West Ham United;6;10;9;6;13;5;14;8;10;14;13;7;15;13;14;13;14;14;12;12;12;10;9;12;7;11;13;13;13;13;12;14;16;15;14;13;12;13;14;5;17;3;2;2;2;1;2;2;1;3;3;3;10;17;15;6;12;9;14;12;1;12;20;17;8;10;15;1;15;1;1;1;1;1;186;76;14;20;22075703;6750;6750;5500;Mixed_Race;133;11;21/09/1996;20;0;110192;;91126230
Marcos Rojo;D C;32;135;144;Argentina;Club AtlÇtico Boca Juniors;5;10;9;6;12;4;15;6;10;15;12;8;16;13;17;15;18;10;11;6;10;12;6;16;12;15;15;14;12;14;14;13;14;14;15;14;12;16;15;13;12;2;4;4;2;2;1;3;3;3;2;1;12;9;7;14;14;12;14;14;1;13;20;1;10;1;1;1;1;1;1;1;1;1;187;80;20;8;1023951;6688;6688;4447;Native_American;136;11;20/03/1990;61;3;53437;;14020763
Akram Afif;M/AM/S RLC;25;135;145;Qatar,Tanzania;Al-Sadd Sports Club;11;14;13;14;15;8;3;12;5;4;13;12;2;15;8;12;14;11;11;14;10;16;15;7;13;5;8;10;16;15;11;10;14;14;13;8;12;6;11;7;13;1;1;2;3;2;2;1;3;1;1;1;13;14;8;12;12;11;10;11;1;1;1;1;1;1;1;16;1;1;20;16;16;16;177;0;10;20;21585106;6750;7250;5267;North_African__Middle_Eastern;124;12;18/11/1996;83;24;69684;;18091019
Carlos Fern†ndez;S C;26;135;145;Spain;Real San Sebasti†n;7;11;12;15;13;8;14;11;6;6;13;12;7;14;13;13;12;13;13;13;14;14;13;11;14;6;13;14;12;12;11;14;12;14;14;13;14;5;14;16;12;1;1;2;3;1;3;1;3;3;3;2;10;11;9;15;10;16;14;8;1;1;1;1;1;1;1;1;1;1;1;15;1;20;186;72;20;11;6456189;6650;6650;4750;Mediterranean_Hispanic;133;4;22/05/1996;0;0;14736;;67184485
Mattias Svanberg;M C;23;135;155;Sweden;VfL Wolfsburg;14;11;13;11;14;14;11;15;4;11;13;11;12;14;13;12;13;13;13;14;13;14;14;8;14;12;12;14;13;12;14;11;15;14;14;12;12;11;12;6;14;3;3;3;3;4;2;4;1;3;3;3;11;14;6;12;12;14;12;12;1;1;1;1;1;1;15;10;20;12;10;15;12;8;185;77;11;20;19135911;6747;6397;5747;Northern_European;135;1;05/01/1999;21;1;57533;;93065023
Fayáal Fajr;M/AM C;33;135;143;Morocco,France;Al-Wehda Football Club;15;15;13;9;14;14;8;14;5;9;16;13;9;15;16;12;11;13;14;15;12;17;15;13;13;7;12;13;13;14;12;10;14;13;14;12;10;9;11;7;8;4;2;1;2;2;1;4;1;2;3;4;15;15;8;13;10;12;11;9;1;1;1;1;1;1;14;1;20;1;1;16;1;1;179;70;12;20;347975206;6750;6800;5950;North_African__Middle_Eastern;134;11;01/08/1988;51;4;29999;;85084000
Burak Y’lmaz;S;37;135;145;Turkey;Fortuna Sittard;7;9;13;17;11;14;13;13;8;5;11;16;3;11;10;15;9;15;13;10;13;15;12;13;17;6;12;10;13;12;10;14;16;15;8;14;14;17;12;12;5;1;1;2;1;1;4;3;1;3;1;1;8;17;12;6;15;16;5;12;1;1;1;1;1;1;1;1;1;1;14;14;14;20;188;80;12;20;347975206;6750;6750;5300;Mediterranean_Hispanic;134;7;15/07/1985;77;31;9588;;470884
Marash Kumbulla;D C;22;135;154;Albania,Italy;Associazione Sportiva Roma;5;7;8;9;11;5;17;5;13;16;12;6;15;10;8;14;13;11;11;9;12;11;7;6;5;14;16;15;10;9;12;16;15;15;16;15;12;13;11;8;4;1;2;2;2;2;3;2;1;1;4;2;14;15;7;12;8;16;13;12;1;1;20;7;1;1;1;1;1;1;1;1;1;1;191;82;11;20;18188001;6750;6950;5600;Mediterranean_Hispanic;133;2;08/02/2000;15;0;64038;;43296495
Victor Nelsson;D C;23;135;150;Denmark;Galatasaray A.?.;5;7;10;5;12;6;13;6;4;15;13;7;14;12;15;14;16;14;16;12;14;15;4;15;10;14;14;15;11;11;12;14;15;11;14;15;18;13;15;7;15;3;2;2;3;2;3;3;3;3;4;3;16;15;3;15;16;16;11;13;1;1;20;8;1;1;15;5;10;5;1;1;1;1;185;83;9;20;9195838;6950;6500;5600;Northern_European;135;3;14/10/1998;7;0;41665;;27107366
Nicolas Hîfler;DM/M C;32;135;138;Germany;Sport-Club Freiburg;8;11;9;7;13;6;9;8;10;12;15;7;12;14;12;13;11;16;17;14;16;12;7;12;10;13;18;15;11;13;12;9;16;12;16;12;17;8;15;7;16;2;2;1;2;3;2;3;1;1;3;1;7;10;3;16;13;16;14;18;1;1;13;12;1;12;20;1;20;1;1;1;1;1;181;81;10;20;1848645;6500;6500;4750;Northern_European;133;4;09/03/1990;0;0;11538;;35017386
Japhet Tanganga;D RC;23;135;146;England,Democratic Republic of Congo;Tottenham Hotspur;4;10;9;7;12;5;14;7;11;13;10;5;14;13;14;13;15;13;12;10;13;15;9;9;13;14;13;14;13;13;12;15;15;14;15;15;12;7;1;10;12;3;4;4;1;1;3;3;1;1;3;2;14;14;5;9;14;14;12;15;1;14;20;18;1;13;1;1;1;1;1;1;1;1;186;83;10;20;20161253;6750;6750;5250;African_Caribbean;134;15;31/03/1999;0;0;28998;;28106874
Santi Comesa§a;DM/M C;25;135;145;Spain;Vallecano;9;10;11;11;13;7;14;10;6;12;14;7;13;13;12;15;13;12;13;13;14;14;11;14;13;14;14;14;12;13;12;13;15;13;14;14;13;12;10;8;13;1;3;3;2;3;3;2;1;2;1;1;14;15;8;12;12;13;10;8;1;1;9;1;1;1;18;1;20;1;1;12;1;1;184;75;11;20;5468604;6750;6750;4750;Mediterranean_Hispanic;134;5;05/10/1996;0;0;14585;;67224142
Vitaly Janelt;DM/M C;24;135;148;Germany;Brentford;10;12;13;12;13;9;12;13;12;12;14;8;14;13;16;14;16;13;14;13;12;15;8;12;11;12;15;15;12;12;14;12;16;12;15;14;14;12;14;5;13;1;1;1;2;1;1;2;3;3;1;2;14;13;11;10;14;13;12;16;1;12;10;12;1;1;20;1;20;1;1;1;1;1;184;79;20;10;25632341;6750;6750;5250;Northern_European;136;3;10/05/1998;0;0;46397;;91143519
Jason Denayer;D C;27;135;141;Belgium,Democratic Republic of Congo;Shabab Al-Ahli Dubai Football Club;5;5;11;5;14;5;13;5;5;15;13;5;15;14;12;14;14;13;12;11;11;12;11;13;8;15;14;13;15;14;14;13;12;15;12;14;14;7;14;10;14;3;2;1;2;2;2;2;1;3;4;2;15;11;2;17;11;15;15;14;1;12;20;14;1;1;14;1;1;1;1;1;1;1;184;80;10;20;9888314;6500;6500;5750;African_Caribbean;136;12;28/06/1995;35;1;74999;;18081611
Matt Turner;GK;28;135;140;United States,Lithuania;Arsenal;3;3;8;1;9;7;1;1;1;1;9;2;3;4;6;12;12;12;14;9;13;12;6;8;3;15;11;10;11;15;6;12;6;10;12;14;12;6;10;6;12;14;15;13;10;15;12;14;15;7;6;10;12;12;6;12;12;12;13;13;20;1;1;1;1;1;1;1;1;1;1;1;1;1;191;89;10;20;9494887;6739;6739;4739;Northern_European;133;1;24/06/1994;17;0;46397;;72046884
Lucas BoyÇ;AM/S RLC;26;135;140;Argentina,Italy;Elche;9;10;16;12;13;11;14;12;6;7;10;12;7;14;11;11;10;11;10;11;9;11;15;7;12;6;15;18;15;13;15;12;12;15;13;17;10;4;9;7;10;2;3;1;3;1;3;1;3;2;3;2;11;14;6;12;7;12;14;13;1;1;1;1;1;1;1;1;1;1;15;18;15;20;183;80;10;20;6332507;6700;6200;5050;Mediterranean_Hispanic;130;1;28/02/1996;1;0;8901;;14110829
RubÇn Pe§a;D/WB/M/AM R;31;135;145;Spain;AtlÇtico Pamplona;8;14;14;9;12;8;8;10;13;12;13;10;14;12;10;13;12;12;13;13;14;11;10;7;14;13;12;13;13;13;13;8;12;13;13;10;12;10;10;7;14;2;2;3;1;1;1;2;2;1;1;3;19;8;4;10;12;11;11;15;1;10;1;20;11;18;1;13;1;16;14;14;16;11;170;65;12;20;347975206;6650;6650;3400;Mediterranean_Hispanic;126;6;18/07/1991;0;0;12894;;67177699
Juan Dinenno;S;27;135;140;Argentina,Italy;Pumas de la UNAM;7;10;12;15;10;11;15;10;6;4;10;15;4;13;7;15;11;13;13;9;13;13;12;10;16;6;15;16;14;11;16;13;13;13;14;15;14;7;11;6;11;2;2;2;3;3;3;2;2;1;2;3;12;13;10;13;12;12;11;16;1;1;1;1;1;1;1;1;1;1;1;10;1;20;186;84;10;20;5190563;6700;6700;3526;Mediterranean_Hispanic;133;6;28/08/1994;0;0;19472;;14083720
Mart°n Campa§a;GK;33;135;150;Uruguay;Al-Batin Football Club;5;1;1;3;12;9;1;3;1;1;12;3;2;11;8;14;13;13;14;11;12;13;13;18;3;12;14;13;10;12;13;13;13;11;13;12;14;11;16;6;13;12;12;14;15;14;13;14;16;12;11;14;14;7;6;13;10;15;15;12;20;1;1;1;1;1;1;1;1;1;1;1;1;1;186;85;8;20;347975206;6900;6900;5500;Mediterranean_Hispanic;134;8;29/05/1989;9;0;20357;;78021572
Sandro;AM/S RL;27;135;146;Spain;Huesca;10;13;14;11;15;13;13;15;5;4;12;15;6;15;14;15;16;9;11;11;12;14;11;10;14;14;12;16;14;14;10;9;13;15;13;13;8;7;10;14;9;2;1;1;1;3;1;3;2;1;1;2;6;15;12;5;10;9;12;15;1;1;1;1;1;1;1;8;1;8;16;9;15;20;175;72;10;20;349999;6750;6750;5750;Mediterranean_Hispanic;132;7;09/07/1995;0;0;34999;Las Palmas;67149094
Fidel Chaves;M/AM LC;32;135;140;Spain;Elche;15;15;14;14;14;13;10;13;5;8;15;16;10;17;9;13;9;13;12;16;13;15;14;6;14;15;13;13;14;15;13;11;13;13;14;10;12;3;13;4;12;3;3;1;2;3;1;2;3;2;1;3;10;14;6;16;15;17;12;13;1;1;1;1;12;1;1;19;1;9;20;17;12;6;179;70;20;5;347975206;6650;6650;4750;Mediterranean_Hispanic;139;1;27/10/1989;0;0;12637;;67053759
Carles Gil;AM RLC;29;135;142;Spain;New England Revolution;14;15;16;12;15;12;5;11;4;6;16;14;7;15;9;13;10;13;13;15;14;16;15;13;14;11;14;13;12;16;13;5;12;12;11;8;14;4;13;14;13;2;2;2;2;2;2;1;3;1;2;3;13;10;6;12;12;13;12;10;1;1;1;1;1;1;1;15;14;14;16;19;20;15;171;66;20;9;7574248;6999;6206;5168;Mediterranean_Hispanic;131;4;22/11/1992;0;0;68752;;67103542
Moses Simon;M/AM RL;27;135;138;Nigeria;FC Nantes;11;13;15;12;14;10;6;11;4;5;14;11;6;15;8;11;15;11;12;13;11;12;16;9;17;10;11;11;16;14;11;5;12;16;13;10;12;8;9;11;10;2;2;3;1;4;3;1;1;1;3;1;12;14;9;12;12;13;13;11;1;1;1;1;1;1;1;17;7;12;20;12;18;12;168;66;9;20;9954790;6750;6750;4700;African_Caribbean;133;17;12/07/1995;53;7;34496;;13139098
Jens Petter Hauge;AM RLC;22;135;151;Norway;Eintracht Frankfurt;9;12;15;11;14;8;10;13;6;7;13;13;7;14;11;13;8;13;13;14;11;14;14;9;15;8;14;13;15;13;12;11;15;14;13;12;12;8;12;5;12;3;2;3;1;1;4;1;1;1;1;2;8;14;13;12;13;14;14;15;1;1;1;1;1;1;1;12;10;14;15;16;20;12;184;75;12;20;10962000;5750;6650;5000;Northern_European;134;1;12/10/1999;10;0;29230;KAA Gent;53136627
Timo Baumgartl;D C;26;135;140;Germany;PSV Eindhoven;4;7;9;6;11;4;13;5;9;14;10;6;16;11;9;14;12;14;15;9;13;13;5;11;8;14;16;14;12;11;13;15;13;14;13;16;14;6;11;13;6;4;3;3;1;3;2;1;2;3;2;1;9;12;3;13;10;14;16;18;1;1;20;12;1;8;1;1;1;1;1;1;1;1;192;88;10;20;6916385;6250;6250;4750;Northern_European;134;3;04/03/1996;0;0;19999;1. FC Union Berlin;92065892
Cristian µlvarez;GK;36;135;141;Argentina,Spain;Zaragoza;6;2;2;2;12;8;4;2;3;2;13;7;3;11;11;15;13;18;16;10;15;15;7;17;4;14;17;11;9;11;11;13;13;10;10;10;17;7;16;8;13;11;13;13;12;12;14;13;16;13;14;12;14;10;8;15;14;18;13;10;20;1;1;1;1;1;1;1;1;1;1;1;1;1;186;83;8;20;365851;6650;6250;4750;Mediterranean_Hispanic;136;7;13/11/1985;0;0;14802;;955103
Marcos Senesi;D C;25;135;147;Argentina,Italy;AFC Bournemouth;6;10;10;8;13;7;14;7;3;13;13;6;14;14;10;15;13;13;12;13;13;13;11;13;10;14;15;15;14;11;14;15;14;11;15;12;13;12;13;6;3;1;3;2;1;3;2;2;1;1;3;2;14;10;1;12;13;15;14;17;1;10;20;1;1;1;1;1;1;1;1;1;1;1;184;80;20;10;24283271;6750;6400;5550;Mediterranean_Hispanic;133;8;10/05/1997;1;0;52196;;14080605
Ivan Ili?;DM/M/AM C;21;135;159;Serbia;Hellas Verona;13;12;15;10;14;12;9;11;7;8;14;10;12;15;10;14;11;14;12;14;13;15;13;9;11;12;16;12;12;13;13;12;15;14;14;12;13;9;12;6;11;3;1;3;2;2;1;3;2;3;1;2;16;15;6;12;12;17;11;12;1;1;1;1;1;1;18;1;20;1;1;18;1;1;182;75;20;11;32960000;6750;6400;5300;Northern_European;133;4;17/03/2001;3;0;4999;;62201068
Pavel Kade?†bek;D/WB R;30;135;139;Czech Republic;TSG Hoffenheim;7;14;11;9;10;7;11;11;15;11;10;11;13;10;13;10;15;8;13;10;9;16;10;12;14;11;14;16;14;11;16;11;14;16;17;14;15;12;14;11;10;1;3;1;2;2;3;2;2;3;2;1;12;15;3;13;12;16;14;17;1;12;1;20;10;20;1;1;1;15;1;1;15;1;182;81;10;20;6832812;6743;6843;6493;Northern_European;124;2;25/04/1992;48;3;38462;;25019787
Mateo Musacchio;D C;31;135;150;Argentina,Italy;;6;8;10;7;13;6;14;7;12;15;13;10;15;12;17;15;17;14;11;12;11;14;9;13;8;14;16;16;12;12;14;12;15;13;14;14;12;11;13;10;8;2;2;3;4;2;2;3;1;2;1;1;15;14;8;12;12;16;11;9;1;1;20;1;1;1;9;1;1;1;1;1;1;1;180;73;10;20;-1;6750;6750;5000;Mediterranean_Hispanic;134;4;26/08/1990;6;0;;;14000745
Dennis Geiger;DM/M C;24;135;144;Germany;TSG Hoffenheim;15;13;11;8;15;14;7;12;6;12;15;12;12;15;15;14;14;16;13;15;14;13;11;9;10;12;17;13;12;14;13;6;12;10;14;10;13;12;12;13;11;4;2;3;2;1;3;1;2;1;2;1;9;14;7;12;15;13;15;11;1;1;1;1;1;1;20;1;20;1;1;14;1;1;173;65;10;20;6480280;6749;6749;5299;Northern_European;132;2;10/06/1998;0;0;26370;;91143563
Lars Stindl;AM/S LC;33;135;142;Germany;Borussia Mînchengladbach;13;12;11;13;14;14;12;13;4;8;14;15;9;14;17;12;13;14;13;15;13;16;12;16;13;9;17;16;12;12;13;10;17;11;13;11;12;14;14;10;17;2;2;3;3;2;1;4;3;2;2;1;9;12;11;17;12;17;8;9;1;1;1;1;1;1;8;10;15;10;15;18;12;20;181;80;12;20;1429674;6750;6750;5750;Northern_European;127;4;26/08/1988;11;4;67122;;35011818
Dodi LukÇbakio;AM/S RL;24;135;145;Belgium,Democratic Republic of Congo;Hertha Berlin;12;11;16;13;14;11;12;12;4;6;11;14;7;16;12;12;9;12;8;11;8;10;15;6;12;7;8;9;16;13;12;13;14;16;11;12;8;8;10;4;11;1;1;3;1;1;2;1;2;3;3;3;10;13;14;7;10;7;11;9;1;1;1;1;10;10;1;12;1;15;15;10;20;18;187;77;20;11;9140005;6697;6397;5497;African_Caribbean;125;16;24/09/1997;4;0;57533;;18083611
Germ†n Berterame;S;23;135;146;Argentina;CF Monterrey;10;11;14;16;13;9;15;13;13;7;11;16;8;13;11;15;14;13;13;10;13;4;12;9;12;11;11;12;14;15;13;9;11;13;12;14;13;13;6;14;12;3;3;3;3;2;1;3;2;2;1;1;18;13;5;12;11;12;9;20;1;1;1;1;1;1;1;1;1;1;1;1;12;20;178;75;9;20;2583530;5482;5880;3412;Mediterranean_Hispanic;135;10;13/11/1998;0;0;4793;;14111100
Germ†n Cano;S;34;135;138;Argentina;FLU;6;12;13;16;12;7;14;12;6;6;13;15;6;13;7;12;11;15;13;11;14;16;14;18;16;10;12;13;13;12;12;10;12;12;12;10;13;9;8;9;4;2;1;3;4;4;1;2;2;1;3;1;12;12;9;12;13;12;11;12;1;1;1;1;1;1;1;1;1;1;1;1;1;20;176;72;13;20;347975206;6731;6235;4488;Mediterranean_Hispanic;132;7;02/02/1988;0;0;22363;;14003037
Wout Faes;D C;24;135;144;Belgium;Leicester City;8;10;11;6;12;8;14;8;5;15;13;5;15;12;13;17;14;14;13;14;12;14;8;15;8;14;14;15;12;12;13;14;12;12;14;13;14;15;12;6;10;1;2;1;2;2;3;3;1;4;1;2;11;15;4;13;12;11;12;17;1;1;20;1;1;1;14;1;10;1;1;1;1;1;187;84;7;20;18501541;6600;6600;4500;Northern_European;135;5;03/04/1998;1;0;69595;;18083577
Duje ?aleta-Car;D C;25;135;144;Croatia;Southampton;5;5;8;7;13;8;15;10;8;14;14;8;14;9;14;15;13;12;13;12;12;15;10;11;8;14;14;14;11;11;15;15;14;12;14;16;14;11;13;12;6;1;3;3;2;4;3;2;3;1;3;1;14;13;8;10;12;14;14;13;1;1;20;1;1;1;1;1;1;1;1;1;1;1;192;89;11;20;24283271;6750;7050;5250;Northern_European;134;4;17/09/1996;23;1;57996;;24039427
Omar Abdulrahman;AM RLC;30;135;140;United Arab Emirates,Saudi Arabia,Yemen;Al-Wasl Football Club;12;14;17;11;15;13;6;13;6;8;17;14;6;17;8;11;9;14;12;18;17;16;19;15;10;11;12;9;13;14;7;5;11;13;12;8;11;8;15;13;6;1;3;1;2;1;3;2;3;3;2;3;8;15;10;9;12;12;11;8;1;1;1;1;1;1;1;15;13;14;19;20;19;11;175;62;20;6;14291687;6750;6750;3750;North_African__Middle_Eastern;131;9;20/09/1991;79;11;30040;;23108543
Gabriel Arias;GK;34;135;145;Chile,Argentina;Racing Club de Avellaneda;5;2;2;3;8;7;3;1;1;2;10;4;2;11;12;13;13;14;14;11;13;11;10;13;10;14;12;12;11;12;13;14;11;11;11;11;13;11;15;11;12;13;14;14;8;14;11;16;16;12;12;11;12;8;5;15;9;12;14;11;20;1;1;1;1;1;1;1;1;1;1;1;1;1;187;91;8;20;347975206;7000;7000;4500;Mediterranean_Hispanic;134;8;13/09/1987;13;0;21200;;14000828
Igor Akinfeev;GK;36;135;157;Russia;CSKA Moscow;5;2;2;2;10;7;8;1;3;1;11;18;1;10;11;16;10;16;15;10;15;18;10;17;2;16;5;9;11;12;12;10;13;9;10;13;16;7;14;5;13;8;10;18;3;13;15;14;14;8;17;14;1;11;5;20;14;20;14;10;20;1;1;1;1;1;1;1;1;1;1;1;1;1;186;78;13;20;347975206;6727;6727;5736;Northern_European;135;0;08/04/1986;111;0;29999;;8053234
RubÇn Blanco;GK;27;135;156;Spain;Vigo;4;3;2;1;11;8;1;3;1;2;13;4;3;7;9;13;12;15;11;7;12;6;7;8;1;15;13;11;13;15;11;14;11;11;13;11;7;5;12;14;15;13;10;14;7;14;12;14;16;14;13;11;11;13;5;13;13;10;12;16;20;1;1;1;1;1;1;1;1;1;1;1;1;1;189;80;12;20;5343053;6700;6700;5400;Mediterranean_Hispanic;132;6;25/07/1995;0;0;14410;Olympique de Marseille;67156610
Fernando2;DM/M C;30;135;145;Brazil;Antalyaspor;13;9;11;10;15;17;10;13;8;12;15;12;9;16;10;15;10;15;10;15;14;10;14;12;12;13;10;12;12;13;12;8;10;12;14;12;12;11;13;5;12;2;3;1;2;2;3;3;3;1;2;1;20;12;9;13;12;13;13;12;1;1;1;1;1;1;19;1;20;1;1;9;1;1;175;75;10;20;6423511;6750;6550;6000;African_Caribbean;135;8;03/03/1992;8;0;44999;;19046039
